,Community_1,Community_2,count,mean
0,1,1,2468,3.5393030794165314
1,1,2,43,3.2325581395348837
2,1,4,67,3.1194029850746268
3,1,6,9,3.111111111111111
4,1,7,103,3.3009708737864076
5,1,8,95,3.2842105263157895
6,1,9,36,3.0833333333333335
7,1,12,1,4.0
8,1,13,8,3.375
9,1,15,20,3.2
10,1,19,2,3.5
11,1,20,1,3.0
12,2,2,1977,3.6737481031866466
13,2,4,59,3.1016949152542375
14,2,7,8,3.0
15,2,8,15,3.1333333333333333
16,2,9,2,3.0
17,2,12,5,3.2
18,2,13,17,3.4705882352941178
19,2,15,6,3.0
20,2,16,23,3.1739130434782608
21,2,17,11,3.0
22,2,18,2,3.0
23,3,3,5230,4.475717017208413
24,3,5,203,3.748768472906404
25,3,10,9,3.7777777777777777
26,4,4,1275,3.72078431372549
27,4,7,19,3.0526315789473686
28,4,8,20,3.1
29,4,9,62,3.161290322580645
30,4,12,1,3.0
31,4,13,2,3.0
32,4,15,7,3.0
33,4,20,1,3.0
34,5,5,2880,5.004166666666666
35,5,10,242,3.669421487603306
36,6,6,673,3.9509658246656763
37,6,8,1,3.0
38,6,15,2,3.5
39,7,7,970,4.809278350515464
40,7,8,10,3.2
41,7,9,4,3.5
42,7,15,1,3.0
43,7,17,5,3.0
44,7,20,1,3.0
45,8,8,482,3.6867219917012446
46,8,9,12,3.25
47,8,13,1,3.0
48,8,15,7,3.142857142857143
49,8,19,2,3.0
50,9,9,1252,4.086261980830671
51,9,12,1,3.0
52,9,15,3,3.0
53,10,10,1351,5.624722427831236
54,11,11,782,4.846547314578005
55,12,12,257,3.649805447470817
56,13,13,539,6.094619666048238
57,13,15,1,3.0
58,13,16,14,5.0
59,13,17,19,4.0
60,14,14,275,3.8036363636363637
61,15,15,178,3.6123595505617976
62,16,16,263,4.486692015209125
63,16,17,13,3.923076923076923
64,16,18,3,3.0
65,17,17,417,9.141486810551559
66,18,18,198,7.287878787878788
67,19,19,138,3.5217391304347827
68,20,20,138,3.717391304347826
